,AAPL,AMD,SPY,NFLX,BA,INTC,WMT,GS,XOM,NKE,META,MSFT,KO,PEP,GM,F,DAL,UAL
AAPL,1.0,0.7702708095962062,0.953663978618954,0.6991097292987221,0.11003487395058463,0.050581982174707885,0.8989020720908575,0.9013651659474268,0.7977832259307545,0.7589774164403333,0.8164346667653507,0.8637756501021818,0.8591110164485571,0.0052813907145690875,0.6390959893036623,0.08893899863255923,0.8332529701434603,0.8236662721875757
AMD,0.7702708095962062,1.0,0.7860834467878586,0.49769315417484117,0.2544537052604914,0.4920317436879125,0.7110148753413614,0.790495381707865,0.5754877958376502,0.5415318443852395,0.6070207183959059,0.6090266233112801,0.6568725405032322,0.10223460006656754,0.6698364000013037,0.1880975540538642,0.7399987975965315,0.6194830611405996
SPY,0.953663978618954,0.7860834467878586,1.0,0.8264097021181063,0.20567093889312313,0.0035275921535886604,0.9465222746938642,0.9617826412533895,0.7286779941525188,0.7362174591828813,0.9125163549152069,0.8983177997542474,0.8439797918383882,0.17765952424589931,0.7492940916244085,0.08478519785341734,0.8957700455020371,0.8876754557588536
NFLX,0.6991097292987221,0.49769315417484117,0.8264097021181063,1.0,0.2398836755728312,0.1141272578254215,0.8411075835956335,0.7822385542251061,0.36765965867070877,0.6076020380110878,0.9386519146048194,0.8029960443436767,0.5591417218636106,0.5423159572559584,0.6103977724643987,0.1724137131381869,0.7279721908333486,0.8105142795157769
BA,0.11003487395058463,0.2544537052604914,0.20567093889312313,0.2398836755728312,1.0,0.40311520725545147,0.15152212484434505,0.2605192690227628,0.02103462335754289,0.18368576566577668,0.1944904384602072,0.13432364176449832,0.019278446645184674,0.16972659162638568,0.4396671737616486,0.25712312164351225,0.3188132797668027,0.25889220877094266
INTC,0.050581982174707885,0.4920317436879125,0.0035275921535886604,0.1141272578254215,0.40311520725545147,1.0,0.0011256317975898206,0.11051579985689919,0.2265684682941303,0.20281002991667188,0.11223780715438313,0.26484553394246085,0.11054223739818089,0.27977432865430374,0.37598197443599646,0.22110764593315232,0.17520367405119971,0.007137039592736014
WMT,0.8989020720908575,0.7110148753413614,0.9465222746938642,0.8411075835956335,0.15152212484434505,0.0011256317975898206,1.0,0.9529941997701454,0.6891958838126967,0.8145883599183249,0.886416358200809,0.7840858769802385,0.8266011114718511,0.30885862544573517,0.7151123160621894,0.11348379402906157,0.8710910172032312,0.9151978372382543
GS,0.9013651659474268,0.790495381707865,0.9617826412533895,0.7822385542251061,0.2605192690227628,0.11051579985689919,0.9529941997701454,1.0,0.6981270842934718,0.7172381067824929,0.8357583016580019,0.7782740035042861,0.8314953431496117,0.24534752694335407,0.8198366130448137,0.09379274932224828,0.9027439883526691,0.9206029037946979
XOM,0.7977832259307545,0.5754877958376502,0.7286779941525188,0.36765965867070877,0.02103462335754289,0.2265684682941303,0.6891958838126967,0.6981270842934718,1.0,0.7630578134550202,0.5149578734093755,0.6730180146069878,0.8443439379086525,0.35412540582801316,0.33900436263232864,0.08505674764635557,0.5858301101082796,0.5692830653779526
NKE,0.7589774164403333,0.5415318443852395,0.7362174591828813,0.6076020380110878,0.18368576566577668,0.20281002991667188,0.8145883599183249,0.7172381067824929,0.7630578134550202,1.0,0.6843909866826211,0.6759746197487658,0.7355832527341288,0.1584239328430499,0.3033852513954113,0.36254342350843705,0.6055347029704742,0.6682379454810166
META,0.8164346667653507,0.6070207183959059,0.9125163549152069,0.9386519146048194,0.1944904384602072,0.11223780715438313,0.886416358200809,0.8357583016580019,0.5149578734093755,0.6843909866826211,1.0,0.8957556670676823,0.6545335970466426,0.38717276795060623,0.6279666534526743,0.14794152468432958,0.8105935666433781,0.8353555411679094
MSFT,0.8637756501021818,0.6090266233112801,0.8983177997542474,0.8029960443436767,0.13432364176449832,0.26484553394246085,0.7840858769802385,0.7782740035042861,0.6730180146069878,0.6759746197487658,0.8957556670676823,1.0,0.7116174123528088,0.07217640007434716,0.48785566699579747,0.03823440020856455,0.7044301008064372,0.7162157370938242
KO,0.8591110164485571,0.6568725405032322,0.8439797918383882,0.5591417218636106,0.019278446645184674,0.11054223739818089,0.8266011114718511,0.8314953431496117,0.8443439379086525,0.7355832527341288,0.6545335970466426,0.7116174123528088,1.0,0.11921357271365186,0.5505836947678996,0.13907364106060854,0.6840133537629041,0.7014896175976538
PEP,0.0052813907145690875,0.10223460006656754,0.17765952424589931,0.5423159572559584,0.16972659162638568,0.27977432865430374,0.30885862544573517,0.24534752694335407,0.35412540582801316,0.1584239328430499,0.38717276795060623,0.07217640007434716,0.11921357271365186,1.0,0.3242329782874885,0.40384895826048056,0.2627694070385669,0.3519995294970582
GM,0.6390959893036623,0.6698364000013037,0.7492940916244085,0.6103977724643987,0.4396671737616486,0.37598197443599646,0.7151123160621894,0.8198366130448137,0.33900436263232864,0.3033852513954113,0.6279666534526743,0.48785566699579747,0.5505836947678996,0.3242329782874885,1.0,0.3617856096675431,0.8247784889661783,0.7639632178611628
F,0.08893899863255923,0.1880975540538642,0.08478519785341734,0.1724137131381869,0.25712312164351225,0.22110764593315232,0.11348379402906157,0.09379274932224828,0.08505674764635557,0.36254342350843705,0.14794152468432958,0.03823440020856455,0.13907364106060854,0.40384895826048056,0.3617856096675431,1.0,0.07048023370304696,0.02451896851084028
DAL,0.8332529701434603,0.7399987975965315,0.8957700455020371,0.7279721908333486,0.3188132797668027,0.17520367405119971,0.8710910172032312,0.9027439883526691,0.5858301101082796,0.6055347029704742,0.8105935666433781,0.7044301008064372,0.6840133537629041,0.2627694070385669,0.8247784889661783,0.07048023370304696,1.0,0.9356312564479132
UAL,0.8236662721875757,0.6194830611405996,0.8876754557588536,0.8105142795157769,0.25889220877094266,0.007137039592736014,0.9151978372382543,0.9206029037946979,0.5692830653779526,0.6682379454810166,0.8353555411679094,0.7162157370938242,0.7014896175976538,0.3519995294970582,0.7639632178611628,0.02451896851084028,0.9356312564479132,1.0
