,AAPL,AMD,SPY,NFLX,BA,INTC,WMT,GS,XOM,NKE,META,MSFT,KO,PEP,GM,F,DAL,UAL
AAPL,1.0,0.46045210769739475,0.7292678205428753,0.38819602229195094,0.33827471265678705,0.3167712099414677,0.26617595709927994,0.37325747797209063,0.13925295908790083,0.3945439348635931,0.4874878757221091,0.5915481209893256,0.22977836629182705,0.28417620297630236,0.28163750427903544,0.3031399666617603,0.3290442909134834,0.3108408165983817
AMD,0.46045210769739475,1.0,0.620308428231393,0.34840216609151364,0.30876137007091625,0.4328426783560822,0.12521425640264444,0.3513194364524595,0.05723472463538399,0.27579848996244755,0.434283984809403,0.4856307072414939,0.007027151718421522,0.041770236260307035,0.25925283522714904,0.2847878222978271,0.3093947427072983,0.29897368758596854
SPY,0.7292678205428753,0.620308428231393,1.0,0.4691253965495767,0.5265005034572688,0.4881671901524219,0.3446656722747184,0.6663719196393049,0.30306611441830783,0.5123611144510123,0.6168873951430206,0.7225632792965123,0.32624575883050816,0.3240908691136434,0.5215148375959843,0.5120806437310943,0.5698308098345157,0.5351312165597643
NFLX,0.38819602229195094,0.34840216609151364,0.4691253965495767,1.0,0.23085638279176857,0.19896873825882688,0.1633622727906931,0.21616059051717001,0.049017741991593235,0.2543896064514911,0.441804739853753,0.4316995130235169,0.08169944351447139,0.10328176876015144,0.19993880647251394,0.18862548890356748,0.18586375279366316,0.17114530269454745
BA,0.33827471265678705,0.30876137007091625,0.5265005034572688,0.23085638279176857,1.0,0.3043998624309902,0.17597214060430239,0.45576828491886856,0.28280394644116863,0.3175559904176355,0.2706097757198335,0.27568321304928084,0.19062926545875872,0.11160740758444977,0.4294418574276198,0.39631740662943604,0.5608919493692276,0.5596000339876229
INTC,0.3167712099414677,0.4328426783560822,0.4881671901524219,0.19896873825882688,0.3043998624309902,1.0,0.10886321458062,0.3299275248988617,0.1222848172650405,0.22291699551668068,0.28452803213804045,0.2937220274341956,0.10402802910069127,0.12555106051468853,0.2608440294618734,0.2596718576468319,0.2970880896077126,0.2865445237402421
WMT,0.26617595709927994,0.12521425640264444,0.3446656722747184,0.1633622727906931,0.17597214060430239,0.10886321458062,1.0,0.17973936695275172,0.10565330158911634,0.20011233039451753,0.16943239502965124,0.20484659292337012,0.32008229235620345,0.3403905610325591,0.1615512548086079,0.1658010140077475,0.13429237783162418,0.13804760385332343
GS,0.37325747797209063,0.3513194364524595,0.6663719196393049,0.21616059051717001,0.45576828491886856,0.3299275248988617,0.17973936695275172,1.0,0.33496295012438415,0.3402529166987591,0.32087287809121817,0.33408748890495726,0.16171329723094538,0.12150847362094881,0.5203640269437916,0.4783867080967458,0.554740628423002,0.5421302050227298
XOM,0.13925295908790083,0.05723472463538399,0.30306611441830783,0.049017741991593235,0.28280394644116863,0.1222848172650405,0.10565330158911634,0.33496295012438415,1.0,0.16833304846271757,0.03119815370179501,0.04721075485586611,0.22786591724208644,0.14333818288179795,0.29289010069349186,0.276713996940878,0.24029699203228,0.2117276994322272
NKE,0.3945439348635931,0.27579848996244755,0.5123611144510123,0.2543896064514911,0.3175559904176355,0.22291699551668068,0.20011233039451753,0.3402529166987591,0.16833304846271757,1.0,0.3149621944561279,0.3262849842853953,0.2173645745495537,0.2366138677574703,0.3577008908346162,0.34850905625453144,0.38646822861531016,0.35336013805474764
